Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Cost_per_procedure,Daily_Operating_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Net-Profit (daily),,,,
12/22/2023,MRI_0001,MRI Scanner,Radiology,12,0.5,0.04,1,30000,5000,"KES 30,000",Friday,December,FALSE,"KES 25,000",,,,
1/24/2023,XRAY_0002,X-Ray Machine,Radiology,19,13.5,0.71,20,2000,1500,"KES 40,000",Tuesday,January,FALSE,"KES 38,500",,,,
12/19/2023,CT_0003,CT Scanner,Radiology,8,6.7,0.84,7,10000,3000,"KES 70,000",Tuesday,December,FALSE,"KES 67,000",,,,
12/12/2023,CT_0004,CT Scanner,Radiology,18,9.2,0.51,20,10000,3000,"KES 200,000",Tuesday,December,FALSE,"KES 197,000",,,,
12/31/2023,XRAY_0005,X-Ray Machine,Radiology,11,8.3,0.75,22,2000,1500,"KES 44,000",Sunday,December,TRUE,"KES 42,500",,,,
1/19/2023,MRI_0006,MRI Scanner,Radiology,8,3,0.38,4,30000,5000,"KES 120,000",Thursday,January,FALSE,"KES 115,000",,,,
8/16/2023,MRI_0007,MRI Scanner,Radiology,16,2.7,0.17,1,30000,5000,"KES 30,000",Wednesday,August,FALSE,"KES 25,000",,,,
2/20/2023,CT_0008,CT Scanner,Radiology,10,7,0.7,10,10000,3000,"KES 100,000",Monday,February,FALSE,"KES 97,000",,,,
10/20/2023,MRI_0009,MRI Scanner,Radiology,14,2.1,0.15,3,30000,5000,"KES 90,000",Friday,October,FALSE,"KES 85,000",,,,
4/26/2023,MRI_0010,MRI Scanner,Radiology,15,3.8,0.25,5,30000,5000,"KES 150,000",Wednesday,April,FALSE,"KES 145,000",,,,
5/6/2023,CT_0011,CT Scanner,Radiology,14,5,0.36,14,10000,3000,"KES 140,000",Saturday,May,TRUE,"KES 137,000",,,,
6/2/2023,MRI_0012,MRI Scanner,Radiology,15,2.3,0.15,3,30000,5000,"KES 90,000",Friday,June,FALSE,"KES 85,000",,,,
8/13/2023,MRI_0013,MRI Scanner,Radiology,16,3.1,0.19,1,30000,5000,"KES 30,000",Sunday,August,TRUE,"KES 25,000",,,,
3/12/2023,CT_0014,CT Scanner,Radiology,17,10,0.59,27,10000,3000,"KES 270,000",Sunday,March,TRUE,"KES 267,000",,,,
5/27/2023,MAMMO_0015,Mammography Unit,Women's Health,13,10.7,0.82,21,5000,1000,"KES 105,000",Saturday,May,TRUE,"KES 104,000",,,,
8/16/2023,MAMMO_0016,Mammography Unit,Women's Health,18,9,0.5,22,5000,1000,"KES 110,000",Wednesday,August,FALSE,"KES 109,000",,,,
2/16/2023,CT_0017,CT Scanner,Radiology,11,4.6,0.42,25,10000,3000,"KES 250,000",Thursday,February,FALSE,"KES 247,000",,,,
11/2/2023,CT_0018,CT Scanner,Radiology,8,7,0.88,18,10000,3000,"KES 180,000",Thursday,November,FALSE,"KES 177,000",,,,
5/24/2023,MAMMO_0019,Mammography Unit,Women's Health,16,10.6,0.66,29,5000,1000,"KES 145,000",Wednesday,May,FALSE,"KES 144,000",,,,
4/5/2023,US_0020,Ultrasound,Radiology,10,8.8,0.88,18,3000,1000,"KES 54,000",Wednesday,April,FALSE,"KES 53,000",,,,
9/29/2023,US_0021,Ultrasound,Radiology,9,7.1,0.79,36,3000,1000,"KES 108,000",Friday,September,FALSE,"KES 107,000",,,,
8/1/2023,MAMMO_0022,Mammography Unit,Women's Health,17,8.9,0.52,10,5000,1000,"KES 50,000",Tuesday,August,FALSE,"KES 49,000",,,,
6/16/2023,MRI_0023,MRI Scanner,Radiology,13,2.2,0.17,2,30000,5000,"KES 60,000",Friday,June,FALSE,"KES 55,000",,,,
12/29/2023,MAMMO_0024,Mammography Unit,Women's Health,15,6.8,0.45,18,5000,1000,"KES 90,000",Friday,December,FALSE,"KES 89,000",,,,
10/2/2023,MAMMO_0025,Mammography Unit,Women's Health,20,18.5,0.93,20,5000,1000,"KES 100,000",Monday,October,FALSE,"KES 99,000",,,,
5/4/2023,MAMMO_0026,Mammography Unit,Women's Health,12,4,0.33,27,5000,1000,"KES 135,000",Thursday,May,FALSE,"KES 134,000",,,,
8/8/2023,US_0027,Ultrasound,Radiology,9,8.5,0.94,28,3000,1000,"KES 84,000",Tuesday,August,FALSE,"KES 83,000",,,,
