Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Daily_Operating_Cost,Maintenance_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Mode_of_Payment
2023-12-22,MRI_0001,MRI Scanner,Radiology,12,0.5,0.04,1,5242.7,0,4701.65,Friday,December,False,insurance
2023-01-24,XRAY_0002,X-Ray Machine,Radiology,19,13.5,0.71,20,1964.2,0,17849.6,Tuesday,January,False,insurance
2023-12-19,CT_0003,CT Scanner,Radiology,8,6.7,0.84,7,3448.31,0,9539.4,Tuesday,December,False,insurance
2023-12-12,CT_0004,CT Scanner,Radiology,18,9.2,0.51,20,4450.25,0,3718.58,Tuesday,December,False,cash
2023-12-31,XRAY_0005,X-Ray Machine,Radiology,11,8.3,0.75,22,3170.03,0,7971.67,Sunday,December,True,cash
2023-01-19,MRI_0006,MRI Scanner,Radiology,8,3.0,0.38,4,4134.53,0,34387.49,Thursday,January,False,cash
2023-08-16,MRI_0007,MRI Scanner,Radiology,16,2.7,0.17,1,3037.61,0,22729.78,Wednesday,August,False,insurance
2023-02-20,CT_0008,CT Scanner,Radiology,10,7.0,0.7,10,1665.23,0,34188.27,Monday,February,False,insurance
2023-10-20,MRI_0009,MRI Scanner,Radiology,14,2.1,0.15,3,3501.33,0,3106.54,Friday,October,False,cash
2023-04-26,MRI_0010,MRI Scanner,Radiology,15,3.8,0.25,5,1699.27,0,27689.29,Wednesday,April,False,insurance
2023-05-06,CT_0011,CT Scanner,Radiology,14,5.0,0.36,14,1428.0,0,23932.59,Saturday,May,True,insurance
2023-06-02,MRI_0012,MRI Scanner,Radiology,15,2.3,0.15,3,6863.05,0,28045.29,Friday,June,False,insurance
2023-08-13,MRI_0013,MRI Scanner,Radiology,16,3.1,0.19,1,6426.68,0,46314.1,Sunday,August,True,insurance
2023-03-12,CT_0014,CT Scanner,Radiology,17,10.0,0.59,27,5876.69,0,7795.63,Sunday,March,True,insurance
2023-05-27,MAMMO_0015,Mammography Unit,Women's Health,13,10.7,0.82,21,4431.28,0,17140.4,Saturday,May,True,cash
2023-08-16,MAMMO_0016,Mammography Unit,Women's Health,18,9.0,0.5,22,5215.4,0,35419.89,Wednesday,August,False,insurance
2023-02-16,CT_0017,CT Scanner,Radiology,11,4.6,0.42,25,1596.44,0,26330.24,Thursday,February,False,cash
2023-11-02,CT_0018,CT Scanner,Radiology,8,7.0,0.88,18,4119.38,0,19656.37,Thursday,November,False,insurance
2023-05-24,MAMMO_0019,Mammography Unit,Women's Health,16,10.6,0.66,29,4996.36,0,39456.81,Wednesday,May,False,cash
2023-04-05,US_0020,Ultrasound,Radiology,10,8.8,0.88,18,5194.44,0,13709.29,Wednesday,April,False,insurance
