Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Daily_Operating_Cost,Maintenance_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend
2024-01-01,MRI_A01,MRI Scanner,Radiology,16,13.19,0.825,32,5936.45,0.0,34130.38,Monday,January,False
2024-01-01,CT_B02,CT Scanner,Radiology,20,17.77,0.888,46,6750.84,0.0,45583.53,Monday,January,False
2024-01-01,XRAY_C03,X-Ray Machine,Radiology,12,6.79,0.565,18,814.31,0.0,2545.73,Monday,January,False
2024-01-01,US_A04,Ultrasound,Radiology,10,5.52,0.552,6,469.32,0.0,1314.04,Monday,January,False
2024-01-01,MAMMO_B05,Mammography Unit,Women's Health,8,3.18,0.397,8,476.92,0.0,1859.33,Monday,January,False
2024-01-01,MRI_C06,MRI Scanner,Radiology,16,6.86,0.429,15,3089.21,0.0,19075.9,Monday,January,False
2024-01-01,CT_A07,CT Scanner,Radiology,20,15.69,0.785,40,5963.52,0.0,33839.09,Monday,January,False
2024-01-01,XRAY_B08,X-Ray Machine,Radiology,12,9.85,0.821,26,1181.58,0.0,3652.13,Monday,January,False
2024-01-01,US_C09,Ultrasound,Radiology,10,6.98,0.698,13,593.16,188.53,2701.23,Monday,January,False
2024-01-01,MAMMO_A10,Mammography Unit,Women's Health,8,2.78,0.347,8,416.37,0.0,1734.36,Monday,January,False
2024-01-01,MRI_B11,MRI Scanner,Radiology,16,12.47,0.78,35,5612.61,208.57,37761.84,Monday,January,False
2024-01-01,CT_C12,CT Scanner,Radiology,20,13.2,0.66,38,5016.04,0.0,32359.56,Monday,January,False
2024-01-02,MRI_A01,MRI Scanner,Radiology,16,12.82,0.802,20,5771.11,229.11,26130.6,Tuesday,January,False
2024-01-02,CT_B02,CT Scanner,Radiology,20,19.15,0.957,55,7275.63,158.04,47969.4,Tuesday,January,False
2024-01-02,XRAY_C03,X-Ray Machine,Radiology,12,8.52,0.71,25,1021.86,0.0,3683.35,Tuesday,January,False
2024-01-02,US_A04,Ultrasound,Radiology,10,6.34,0.634,19,539.19,0.0,3458.68,Tuesday,January,False
2024-01-02,MAMMO_B05,Mammography Unit,Women's Health,8,4.68,0.586,14,702.72,248.65,3778.46,Tuesday,January,False
2024-01-02,MRI_C06,MRI Scanner,Radiology,16,15.59,0.974,41,7015.07,0.0,36310.85,Tuesday,January,False
2024-01-02,CT_A07,CT Scanner,Radiology,20,18.97,0.949,48,7209.58,0.0,41908.29,Tuesday,January,False
2024-01-02,XRAY_B08,X-Ray Machine,Radiology,12,9.75,0.813,24,1170.2,0.0,4132.04,Tuesday,January,False
2024-01-02,US_C09,Ultrasound,Radiology,10,6.17,0.617,12,524.52,0.0,2279.58,Tuesday,January,False
2024-01-02,MAMMO_A10,Mammography Unit,Women's Health,8,5.6,0.7,17,840.35,0.0,4024.85,Tuesday,January,False
2024-01-02,MRI_B11,MRI Scanner,Radiology,16,13.23,0.827,33,5954.33,0.0,43435.83,Tuesday,January,False
2024-01-02,CT_C12,CT Scanner,Radiology,20,16.26,0.813,46,6177.93,180.39,35341.05,Tuesday,January,False
2024-01-03,MRI_A01,MRI Scanner,Radiology,16,12.71,0.794,33,5719.81,67.24,40968.25,Wednesday,January,False
2024-01-03,CT_B02,CT Scanner,Radiology,20,16.05,0.803,37,6099.29,0.0,32762.92,Wednesday,January,False
2024-01-03,XRAY_C03,X-Ray Machine,Radiology,12,8.67,0.723,29,1040.73,0.0,4425.94,Wednesday,January,False
2024-01-03,US_A04,Ultrasound,Radiology,10,6.97,0.697,11,592.48,0.0,2213.25,Wednesday,January,False
2024-01-03,MAMMO_B05,Mammography Unit,Women's Health,8,8.0,1.0,19,1200.0,215.08,4911.41,Wednesday,January,False
2024-01-03,MRI_C06,MRI Scanner,Radiology,16,11.98,0.749,34,5392.03,0.0,36108.85,Wednesday,January,False
2024-01-03,CT_A07,CT Scanner,Radiology,20,18.9,0.945,38,7181.42,0.0,39005.8,Wednesday,January,False
2024-01-03,XRAY_B08,X-Ray Machine,Radiology,12,10.81,0.901,22,1296.89,0.0,3325.38,Wednesday,January,False
2024-01-03,US_C09,Ultrasound,Radiology,10,5.42,0.542,12,460.29,285.33,2609.66,Wednesday,January,False
2024-01-03,MAMMO_A10,Mammography Unit,Women's Health,8,4.81,0.602,11,722.19,0.0,2457.87,Wednesday,January,False
2024-01-03,MRI_B11,MRI Scanner,Radiology,16,13.14,0.821,26,5911.48,0.0,36035.8,Wednesday,January,False
2024-01-03,CT_C12,CT Scanner,Radiology,20,16.07,0.803,33,6105.9,240.68,26044.33,Wednesday,January,False
2024-01-04,MRI_A01,MRI Scanner,Radiology,16,12.55,0.784,39,5645.66,0.0,45281.38,Thursday,January,False
2024-01-04,CT_B02,CT Scanner,Radiology,20,16.51,0.825,29,6272.25,0.0,29207.8,Thursday,January,False
2024-01-04,XRAY_C03,X-Ray Machine,Radiology,12,8.93,0.744,23,1071.29,0.0,3663.09,Thursday,January,False
2024-01-04,US_A04,Ultrasound,Radiology,10,8.95,0.895,23,760.52,242.37,4734.81,Thursday,January,False
2024-01-04,MAMMO_B05,Mammography Unit,Women's Health,8,3.66,0.457,12,548.56,0.0,3142.15,Thursday,January,False
2024-01-04,MRI_C06,MRI Scanner,Radiology,16,13.76,0.86,27,6193.26,0.0,36153.85,Thursday,January,False
2024-01-04,CT_A07,CT Scanner,Radiology,20,15.03,0.752,44,5711.54,0.0,41234.61,Thursday,January,False
2024-01-04,XRAY_B08,X-Ray Machine,Radiology,12,5.93,0.494,15,711.11,0.0,2049.86,Thursday,January,False
2024-01-04,US_C09,Ultrasound,Radiology,10,5.69,0.569,14,484.05,0.0,2895.52,Thursday,January,False
2024-01-04,MAMMO_A10,Mammography Unit,Women's Health,8,6.74,0.842,18,1010.25,0.0,4380.9,Thursday,January,False
2024-01-04,MRI_B11,MRI Scanner,Radiology,16,16.0,1.0,45,7200.0,0.0,49371.35,Thursday,January,False
2024-01-04,CT_C12,CT Scanner,Radiology,20,17.1,0.855,41,6498.29,0.0,36075.42,Thursday,January,False
2024-01-05,MRI_A01,MRI Scanner,Radiology,16,13.71,0.857,37,6171.12,0.0,44076.64,Friday,January,False
2024-01-05,CT_B02,CT Scanner,Radiology,20,15.91,0.796,45,6047.35,0.0,38691.61,Friday,January,False
2024-01-05,XRAY_C03,X-Ray Machine,Radiology,12,9.65,0.804,25,1157.98,0.0,3282.85,Friday,January,False
2024-01-05,US_A04,Ultrasound,Radiology,10,8.01,0.801,27,680.69,202.91,4782.8,Friday,January,False
